Issue Type,Issue ID,Summary,Assignee,Description,Priority,Story Points,Start Date,Due Date,Epic Name,Epic Link
Epic,EPIC-1,[Như] Hạ tầng Cloud Database & Kiến trúc ứng dụng,Như,"Phụ trách: Như. Đăng ký AstraDB, tạo Keyspace hotel_ks, chạy DDL schema và kết nối database/db.py",High,8,2026-09-14,2026-09-15,Hạ tầng AstraDB,
Epic,EPIC-2,[Định] Quản lý Khách sạn Phòng & Khách hàng,Định,"Phụ trách: Định. Xây dựng Service CQL, Route Flask và giao diện Tailwind cho Khách sạn, Phòng (Query Q1), Khách hàng",High,11,2026-09-14,2026-09-16,Quản lý Catalog,
Epic,EPIC-3,[Quân] Nghiệp vụ Đặt phòng BATCH & Hóa đơn,Quân,"Phụ trách: Quân. Trọng tâm NoSQL: BATCH INSERT Q5 vào 2 bảng, truy vấn lịch sử Q2, Q3 và tra cứu hóa đơn Q4",Highest,13,2026-09-15,2026-09-16,Nghiệp vụ Đặt phòng,
Epic,EPIC-4,[Cả nhóm] Dashboard Thống kê & Kiểm thử nghiệm thu,Như,"Phụ trách: Cả nhóm. Dashboard thống kê số liệu tổng quan, test tích hợp E2E toàn bộ luồng, fix bug và đóng gói nộp bài",High,5,2026-09-16,2026-09-17,Dashboard & Nghiệm thu,
Task,TASK-1,[Như] QLKS-01: Tạo Keyspace hotel_ks và import bảng DDL,Như,"Phụ trách: Như. Đăng ký AstraDB, tạo Keyspace hotel_ks. Chạy toàn bộ file cql/schema.cql trên CQL Console. AC: 6 bảng được tạo thành công.",High,3,2026-09-14,2026-09-14,,Hạ tầng AstraDB
Task,TASK-2,[Như] QLKS-02: Viết module kết nối database/db.py,Như,"Phụ trách: Như. Tải secure bundle zip, tạo Astra Token. Hoàn thiện hàm get_session() kết nối thành công. AC: In thông báo Kết nối AstraDB thành công.",High,3,2026-09-14,2026-09-14,,Hạ tầng AstraDB
Task,TASK-3,[Như] QLKS-03: Chuẩn hóa khung giao diện base.html với Tailwind v4,Như,"Phụ trách: Như. Cấu hình Tailwind CSS v4 CDN, Google Font Inter, Navbar phân màu Định - Quân - Như, menu responsive. AC: Mọi trang con kế thừa chuẩn layout.",Medium,2,2026-09-15,2026-09-15,,Hạ tầng AstraDB
Task,TASK-4,[Định] QLKS-04: Viết Service CQL cho hotels và guests,Định,"Phụ trách: Định. Viết hàm get_all_hotels, create_hotel, get_all_guests, create_guest trong services/hotel_service.py. AC: Thêm và lấy dữ liệu thành công từ bảng hotels và guests.",High,3,2026-09-14,2026-09-15,,Quản lý Catalog
Task,TASK-5,[Định] QLKS-05: Viết Service CQL Query Q1 (rooms_by_hotel),Định,"Phụ trách: Định. Viết hàm get_rooms_by_hotel(hotel_id) và create_room(...) theo Partition Key hotel_id. AC: Lấy đúng danh sách phòng của khách sạn chỉ định.",High,3,2026-09-15,2026-09-15,,Quản lý Catalog
Task,TASK-6,[Định] QLKS-06: Dựng Route & Giao diện Khách sạn (hotels.html guests.html),Định,"Phụ trách: Định. Hoàn thiện route Flask và form thêm/bảng danh sách đẹp mắt với Tailwind CSS. AC: Người dùng thêm được khách sạn và khách mới trực tiếp trên web.",Medium,3,2026-09-15,2026-09-16,,Quản lý Catalog
Task,TASK-7,[Định] QLKS-07: Dựng Route & Giao diện Quản lý Phòng (rooms.html),Định,"Phụ trách: Định. Hoàn thiện trang danh sách phòng theo từng khách sạn kèm form thêm phòng mới. AC: Bấm vào Xem phòng từ khách sạn sẽ nhảy sang đúng danh sách phòng.",Medium,2,2026-09-16,2026-09-16,,Quản lý Catalog
Task,TASK-8,[Quân] QLKS-08: Cài đặt logic BATCH INSERT Đặt phòng (Query Q5),Quân,"Phụ trách: Quân. Trọng tâm đồ án: Viết hàm create_booking_batch dùng BEGIN BATCH ... APPLY BATCH; ghi đồng thời vào cả 2 bảng bookings_by_guest và bookings_by_hotel_date. AC: Cả 2 bảng đều có bản ghi sau 1 thao tác đặt.",Highest,5,2026-09-15,2026-09-15,,Nghiệp vụ Đặt phòng
